target_cliente,target_producto,Semana,cantidad,se_compra
2.2142857142857144,1.7638114546376078,18,1.0,0
2.2142857142857144,1.7638114546376078,20,1.0,0
2.2142857142857144,3.3890237979601747,20,3.0,0
2.2142857142857144,3.3890237979601747,23,3.0,0
2.2142857142857144,1.099041533546326,20,1.0,0
2.2142857142857144,1.099041533546326,22,1.0,0
2.2142857142857144,3.50066401062417,20,3.0,0
2.2142857142857144,3.50066401062417,23,3.0,0
2.2142857142857144,4.700952380952381,18,6.0,0
2.2142857142857144,4.700952380952381,20,3.0,0
2.2142857142857144,5.142857142857143,23,3.0,0
2.2142857142857144,1.089051094890511,19,1.0,1
2.2142857142857144,1.089051094890511,20,1.0,0
2.2142857142857144,1.089051094890511,22,1.0,0
1.5,2.625222024866785,22,1.0,0
1.5,1.7638114546376078,18,1.0,0
1.5,1.7638114546376078,22,1.0,0
1.5,2.7088607594936707,22,3.0,0
2.6666666666666665,1.1640112464854733,21,1.0,0
2.6666666666666665,3.50066401062417,21,4.0,0
2.6666666666666665,1.0615079365079365,21,1.0,0
2.6666666666666665,2.7088607594936707,21,6.0,0
2.6666666666666665,4.400826446280992,21,4.0,0
2.6666666666666665,4.932203389830509,22,3.0,0
2.6666666666666665,1.089051094890511,21,1.0,0
2.6666666666666665,1.0676855895196506,21,1.0,0
2.6666666666666665,4.271604938271605,22,3.0,0
2.5,1.107371794871795,21,1.0,1
2.5,1.107371794871795,22,1.0,0
2.5,1.107371794871795,22,1.0,0
2.5,1.2613412228796843,21,2.0,0
2.5,1.1640112464854733,18,2.0,1
2.5,1.1640112464854733,19,2.0,0
2.5,1.1640112464854733,21,1.0,1
2.5,1.1640112464854733,22,1.0,0
2.5,1.1640112464854733,22,1.0,0
2.5,1.7638114546376078,18,4.0,0
2.5,1.7638114546376078,20,5.0,0
2.5,1.7638114546376078,22,5.0,0
2.5,1.7638114546376078,22,5.0,0
2.5,3.3890237979601747,18,5.0,0
2.5,3.3890237979601747,20,5.0,1
2.5,3.3890237979601747,21,3.0,1
2.5,3.3890237979601747,22,5.0,0
